Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.89847716,86.63967611,82.53099927,79.63770547,79.92866407,74.38601095,70.99678377,64.56431358,62.73121324,64.66555851,68.07529819,64.59415265,65.06126254,65.52929507,62.91856347,60.21818609,69.75101276,73.1035458,76.54831163,78.27549368,72.85291285,71.82043501,72.54868983,72.25277396,73.23459154,55.32681063,69.06970893,83.12460512
Africa Eastern and Southern,AFE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,23.54904123,25.23653643,26.62187557,29.11633491,30.50234383,24.80628887,22.77424249,21.78612575,22.11661264,24.68505215,24.97529485,25.66768073,24.48472335,22.80587812,20.97005795,19.04015916,22.18749119,23.4887719,24.59448147,25.28100331,26.47083925,25.51331946,25.60822237,25.52322614,26.37102444,27.76178961,28.2029469,26.03245749,26.09707568,27.95769869,29.91305561,32.30962483,35.86608396,27.26794001,29.47699957,31.00182702,29.37124037,28.78138115,27.96263349,23.30569686,21.96504174,22.21064353,25.13159958,23.79932672,21.96387062,25.85078373,27.2564768
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,4.132233215,4.453443266,4.87805112,9.171601094,8.888892562,11.25827913,8.571428776,6.772908423,8.899676645,10.09463699,9.784002283,10.92234226,14.76323124,12.94871808,14.02061893,12.67605689,13.21739125,11.66290433,10.84175028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.42081714,14.3421528,
Africa Western and Central,AFW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0849959,54.32133881,58.38035832,65.52626777,63.4678635,67.90578337,72.4750288,58.7573003,61.54311589,60.66994752,55.94013063,50.74708579,44.69502946,29.75459795,28.12448545,29.004102,40.83628983,40.79075505,38.31454074,47.74527598,43.42292566
Albania,ALB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,23.95749191,23.81050666,20.07291791,18.85207514,18.04033143,16.82037257,15.60618013,16.02992184,16.97939413,18.59335346,15.40506383,7.484818725,12.49959149,15.97882981,11.98369435,12.6408295,11.62033323,10.19712728,11.46716626,16.84176296,20.11528555,21.33341083,20.94561617,20.84738645,22.21756076,23.01299115,25.20960773,28.24786542,25.30241812,25.24074861,27.97943524,29.24153714,28.93748776,28.91631514,28.21300146,27.26739115,28.97789918,31.56979831,31.57195441,31.30426989,22.65778961,31.30916076,37.39542221
Andorra,AND,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.2390406,39.67963476,42.13862816,47.31681568,51.73260902,53.07697563,52.9646602,55.74054358,45.01465488,47.46718511,52.94599289,54.40046943,52.72587923,48.95425838,40.89109113,37.67105771,41.61675255,45.31273503,43.47057609,36.93993037,,
United Arab Emirates,ARE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.15922533,49.50334738,55.92319922,63.56772981,67.58531139,68.62779767,72.3840975,78.8678887,79.65331786,79.39267346,87.53860244,97.63496338,98.00758609,96.92379674,97.56318807,97.66312109,98.34239221,91.99477687,96.66416875,95.92659858,,
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,7.604049108,5.994946995,4.691842759,7.890454203,5.563715605,6.225874438,6.652917384,7.495596226,6.484453463,6.398713317,5.601566676,6.007232881,7.197765839,7.612667721,6.902570798,5.824051799,9.175388296,9.615892413,8.608389938,6.510915467,5.061972681,6.92104948,9.090493079,9.151520687,7.589895312,11.73609802,8.161977544,7.873205813,9.531612973,13.05840891,10.35953659,7.675043348,6.598187472,6.909351534,7.529948726,9.68041026,10.42859676,10.5608501,10.41558196,9.827174515,10.98637523,11.57900808,28.382597,25.93094293,23.84761942,23.24587673,23.0266946,22.66275031,22.06090038,19.56098506,18.93382341,18.44920915,16.23785946,14.61717339,14.40547859,10.70565205,12.52709517,11.32028336,14.43668575,17.92487838,16.60541444,17.99658794,16.29956168
Armenia,ARM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00298151,40.74538838,39.82075502,47.21897587,39.32803935,23.92792083,23.2400035,20.27326939,19.00301997,20.75824695,22.16141881,24.1458544,27.83210837,30.48299789,28.19074382,27.31319795,22.14598144,18.18935698,14.26572957,14.67090075,19.74841532,22.52318826,27.56181148,28.35348514,28.56038166,29.72539121,33.74427986,38.21604566,39.39289403,41.35080136,29.76498692,35.90643999,50.0136477
American Samoa,ASM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.171875,97.90076336,90.37328094,99.6,100.4056795,97.49034749,114.4642857,78.51851852,63.52530541,58.77192982,75.46875,71.78683386,66.718507,63.59583952,63.93442623,59.1503268,68.23161189,61.66924266,59.22330097,44.26666667,46.95752009
Antigua and Barbuda,ATG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.504142,70.69120079,70.01991462,64.57181836,62.47054811,69.20864236,41.91092501,46.98347939,54.68958214
Australia,AUS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,12.9717691,12.38192785,13.91949629,12.98356905,14.91223942,13.19794766,12.91116397,12.86192561,12.2770379,11.9347846,12.95488416,12.63994848,12.80445372,14.13087114,13.12912097,14.25864852,13.50122378,14.00060289,13.60676959,14.28872178,16.41235551,14.8873049,13.51893868,13.57305767,13.55727563,15.22240387,14.9727639,15.45784399,15.95331698,15.11777883,15.11508667,16.02880663,16.65859461,17.53991819,17.97235813,17.87066952,18.8901429,19.12748242,19.55756568,18.29474419,19.39022808,22.1523264,20.72666126,19.05721273,17.16246822,18.22437279,19.85353922,20.18350393,20.14887732,23.01098506,19.79536654,21.43578653,21.49139289,19.9741129,21.08233132,20.05812647,19.26222591,21.22852508,21.8535582,24.11178836,23.96737274,21.97681939,25.42712413
Austria,AUT,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,27.39175635,27.03535423,26.93066639,26.91936691,29.11436954,28.09463625,28.75252685,27.95395681,29.11509236,30.88077553,31.69307154,33.00066134,31.74149644,30.47819854,32.75101765,34.92132183,31.99771479,31.40620496,33.07092579,35.01520285,35.69741439,34.59048817,33.15526772,31.46389809,32.15853394,33.53314035,34.24927611,37.02808274,38.35102119,39.35703789,43.34627395,44.61755552,45.3193862,44.57041472,46.86721497,48.6197522,50.84166886,52.56086942,53.24886062,45.20741656,51.26216033,53.94867085,53.9736762,53.4412933,53.38657905,53.08906056,52.40639365,54.05115314,55.46221912,55.76078481,51.58494694,55.9518373,62.08317498
Azerbaijan,AZE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.86084584,45.65868263,86.20360573,57.46242038,24.72111022,32.48664355,24.92863939,29.03460723,22.69952915,27.97012,40.17083148,41.49860787,42.76783505,42.00657665,48.78900846,62.94110601,66.50414484,68.12891169,65.77613785,51.63574568,54.30472154,56.42698053,52.97468019,48.41583308,43.27355666,37.79477749,46.42764939,48.54786473,54.09229386,49.0506275,35.62355587,46.48874717,60.05269537
Burundi,BDI,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,12.49999962,12.93103499,13.11475373,7.518797057,14.0939593,10.3479635,10.77615982,10.80058971,10.29569557,9.658715376,10.68877683,8.435749897,11.73444345,11.0161732,9.753397451,8.275645724,13.72648388,17.59561023,11.70769278,14.16264464,8.809380565,9.143350509,10.211975,9.045580083,11.50400691,11.02661916,11.7232284,9.744902936,12.59077005,9.74574399,7.872992294,9.917377701,8.749180522,9.381960846,10.27176505,12.92634285,5.820321019,9.835472579,7.999750125,7.575757576,6.318970594,5.179202165,4.685804181,6.381414025,6.952748287,6.200000166,7.3,6.800000136,10.50000026,6.600000274,9.700001639,8.800000284,9.69609532,9.095256069,8.696021194,6.417273565,6.38452219,6.026574329,5.685654314,5.17204,4.54932,5.00029,4.971098508
Belgium,BEL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,44.95627649,43.76746309,44.13727799,48.03194386,52.89335806,45.91603657,48.55438286,47.50725022,45.76164418,49.9224385,50.11728048,54.06352206,58.10331181,60.39562658,64.41235168,62.45432742,57.28304983,55.86776307,59.40808324,63.56674894,61.61369096,60.22965488,58.80893033,56.10774116,58.42495935,60.11437172,61.19239096,64.78658108,64.17434502,64.56305952,72.54739516,71.61195892,70.8312977,69.03650851,70.90627745,74.28282892,76.80499706,78.3018047,80.88061998,68.83400371,75.85006448,80.69736291,80.40449051,79.3243484,79.80100907,77.80528215,79.42961547,83.18241025,83.07962947,82.39718206,78.63162421,87.92417296,95.73149656
Benin,BEN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,6.123913813,4.583489549,3.517823197,3.821360213,5.137338272,7.267563064,6.84654487,7.66582205,9.334642587,11.77321922,15.17657983,17.78579859,14.38440221,15.66197565,14.31675614,14.52824593,12.99124631,16.17890261,16.52508821,17.51637947,15.81651288,15.93050046,17.77103583,13.76428919,19.57937532,23.65261835,16.67592095,15.26752812,13.80373921,13.49542898,19.18130301,21.00248606,23.23914805,22.46438304,28.32701862,27.3689425,26.49881155,27.17613459,27.09293955,23.00953079,20.60530255,19.86857881,19.72661078,18.64429725,18.51354757,18.48363998,18.05792571,22.04285312,22.14072027,19.92796684,23.07204807,20.8496515,23.89673687,27.57056532,31.43084112,24.72045121,27.60678807,27.20559478,27.27423062,29.63052719,19.87247043,20.91880618,21.65320955
Burkina Faso,BFA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,4.861965447,5.428886039,5.531983697,5.579492081,2.798836183,4.652596543,5.05173085,4.928506232,6.204738147,5.817213741,5.455240233,5.511467517,6.399727195,6.31179758,8.320763173,7.348254348,8.205252445,7.960266865,7.468419216,8.246134387,8.950521024,9.276410607,8.195716128,7.884149398,10.96091363,9.921464694,8.990563134,11.3588168,10.99870019,8.748862592,10.96669141,10.44754844,8.846480369,8.951543281,14.20162115,14.14055654,10.56360521,10.812531,12.80810302,8.354005506,8.844717485,9.044082767,8.865365632,9.220431658,10.8815873,9.841847478,10.9568635,10.34854222,10.14932705,13.78897086,20.51584886,26.19550052,26.59808542,27.07698545,26.93200415,26.10764554,25.9159648,26.45238564,28.07890614,29.25769566,31.77686569,32.8885438,31.74607067
Bangladesh,BGD,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,9.996685298,10.78235341,10.74675128,9.983485122,10.02841242,9.662716409,10.28428083,9.306142123,8.33080893,8.145992413,8.313112893,6.291487317,5.674730403,6.539409334,3.701075465,2.895078894,4.746081768,7.040751965,5.557663161,6.109219481,5.494283791,5.130863153,5.075299866,5.603849031,3.396255135,5.3844786,5.182931963,4.990049639,5.428300965,5.540143718,5.908316487,6.662611969,7.58667691,9.017269036,9.001543646,10.86463421,9.70650765,10.52037056,11.75733123,11.75864239,12.34420123,13.38655921,12.40996893,11.4311487,11.14650895,14.3928419,16.35346357,16.99533485,17.65885848,16.94013291,16.02411269,19.92207496,20.16158886,19.53787411,18.98966,17.33667379,13.92120448,12.81974634,12.67478939,13.094756,10.44278806,10.6627789,12.88222643
Bulgaria,BGR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,35.70780505,35.63843555,34.28290766,37.14824281,40.13116141,42.7951269,40.03363952,40.78529918,45.5656655,46.42059466,33.11919208,43.47826087,47.11155378,38.20675811,45.04756469,32.33953422,48.49705483,49.57618754,41.94134566,42.7497878,36.21885676,34.88131742,33.64730372,34.41694588,40.95664027,42.52956575,46.97787863,52.35503435,52.47765905,42.21885009,50.09804494,58.78820752,60.34627469,64.56497865,64.59442237,63.80715712,63.8820004,67.01330027,65.70952328,63.94547846,56.13079826,61.40108431,69.19400366
Bahrain,BHR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,124.1084535,131.1296802,118.9816239,96.6818499,96.48621042,101.7697254,98.71046441,102.3678926,95.33797859,98.64389757,115.5558287,85.00316299,84.38199172,83.87459725,81.19327022,81.9905466,87.9135243,79.07678218,64.60367296,78.86724559,79.18066703,73.61076132,72.5085663,72.063072,78.60514596,83.89404821,84.63894426,79.67952923,82.57734838,68.46559387,69.53731774,99.41866913,102.1455248,104.8048033,96.05075125,83.10720991,74.20082753,75.77968142,79.25252192,76.48596076,72.92860713,89.68125996,
"Bahamas, The",BHS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,82.65077139,82.66458433,68.87172584,70.38118775,67.38170347,65.78597225,66.56855956,63.58826123,64.79079867,63.81799798,61.32277308,,53.83148269,54.16077069,50.9510922,50.24702477,51.96668823,51.02147898,49.54913969,48.03768357,36.88040478,34.65716017,36.45688956,38.04756286,34.07258864,36.17545456,35.81023417,38.2152311,38.75988695,38.30927734,40.09195411,39.49363481,34.19067999,34.95328732,37.43526853,38.12730868,40.42903179,38.40161096,36.35857413,33.21475985,32.38503285,35.92890561,35.53646228,24.64375782,28.78482945,37.52926947
Bosnia and Herzegovina,BIH,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.44828942,20.41173902,23.61770625,27.8336349,27.30319723,27.64394678,21.88381875,22.06871965,19.12601216,20.58798523,22.5362424,24.31642289,26.2583452,27.10155544,26.84806892,25.00937879,29.69554219,32.03597181,32.35054144,33.74304682,33.98912011,35.11487563,35.90870939,40.32441117,41.98456356,40.04007111,34.18149214,42.15263082,48.24535763
Belarus,BLR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.95842956,33.33333333,59.7826087,67.6142132,71.2696004,49.66516478,46.34980374,59.8598806,59.0511293,59.20334137,69.21082134,66.74760674,63.62751594,65.15637991,67.88633336,59.79780872,60.06131177,60.94305272,60.93775522,48.87646182,51.37288535,78.46536152,78.77690728,58.33357811,54.94111369,58.01023245,62.50934712,66.78991565,70.45454545,65.09440964,61.01214926,70.83203772,63.70823623
