Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.96615905,20.16194332,23.59591539,21.97249245,21.85473411,21.4195403,24.8419723,24.89022411,24.44465094,22.88667881,22.83597483,22.32300085,21.41445256,21.2483204,24.833034,26.46514444,25.10845514,26.17794538,26.19330387,24.82374063,23.25569556,23.48752703,23.02162354,23.07102042,22.49855227,27.46613412,21.8486759,19.90316823
Africa Eastern and Southern,AFE,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,7.90173659,8.338807318,9.057377428,8.933420387,9.52715622,9.723136669,9.921990705,9.83655263,10.07292533,10.15963821,10.42304261,11.12509637,10.71492752,10.02703532,10.23190128,11.31548866,11.72082391,11.70910427,12.695242,13.09116732,13.28993351,13.38025291,13.86950172,13.48488206,14.40663706,14.37772989,14.90338073,15.93950508,15.03380393,14.35473998,14.78104945,15.10148799,17.24029408,17.05263572,17.68644905,16.46105653,16.91747533,16.76832311,16.58479926,16.4477378,15.4646558,15.61663261,15.09404734,16.06413257,15.98702787,15.15386982,14.69551454,14.7473973,14.95099206,15.5478764,15.53390328,15.76671446,15.87221967,16.15044265,15.5557732,14.95965755,14.65538475,14.59523507,14.81425644,14.56016678,15.15212082,14.7104639,14.35004086
Afghanistan,AFG,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.10921936,21.26238439,
Africa Western and Central,AFW,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.13057854,21.85425979,14.31206294,16.02903718,15.34172241,15.5369347,16.81461154,19.89858608,17.04234586,18.23585922,17.8426333,21.62194873,17.97565865,16.43283283,13.88068508,12.93581932,10.47454356,8.598856284,8.750362574,7.345796522,7.229044175
Albania,ALB,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,9.311651504,8.843533907,8.898612793,9.093995237,9.751530501,9.639551408,9.613429837,9.99617334,9.805062069,9.131903297,19.18854689,22.8753326,21.40828829,14.6384098,14.62340192,13.82711526,9.453602266,10.4480086,10.8444061,11.05557559,9.692453497,10.6259555,11.33513679,11.09842299,11.20586696,11.03126729,10.52729064,10.47743929,10.37895632,11.10943444,11.15736037,10.97416548,10.84481596,11.02549381,11.45186823,11.11063531,11.26931522,11.49839762,11.28656921,11.34698393,11.84850785,11.90841263,10.17875892
Andorra,AND,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,18.17422812,18.65339501,18.24050866,18.21959283,18.31766911,17.99083793,13.12265995,16.82175651,17.75861628,17.66316884,20.46638493,18.56379589,16.0406667,19.29474755,23.15216728,25.29289925,24.20185265,24.17267687,26.11862493,25.05155367,24.23191163,23.61491034,17.6326073,22.50988823,22.25085582,19.76016048,18.54918407,17.66136967,17.49964043,17.9977599,18.71148662,17.12788956,16.72081996,17.49515016,17.50323836,16.79767525,16.67169482,15.29547096,14.54887988,14.35144059,13.22343568,16.17545054,15.36296222,15.91157073,15.84836637,17.06685475,18.39178118,20.1823274,18.85997576,18.10586583,17.96812543,18.38827426,20.85056932,17.40907961,15.70465114
United Arab Emirates,ARE,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.914023515,10.14648629,9.750233543,8.746697514,7.872593156,6.917822055,6.732997877,7.296835617,10.23414291,9.683489668,9.672873376,9.476950827,10.70692134,10.64231583,12.0210761,12.11229326,13.04577655,11.68541976,12.25514283,14.45010966,,
Argentina,ARG,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,9.880445095,7.789632048,12.19237454,10.25219496,7.22902581,8.089486313,10.80433856,9.739278166,9.829350628,9.50117537,9.742543262,10.14621607,9.351696961,11.53932357,13.15323273,12.58917764,9.420094728,9.015409977,11.16611167,11.00784596,,,,,,,,4.714494499,4.321910284,4.494395965,3.135428392,3.321761288,2.975538028,13.51037847,13.18690437,13.34945568,12.50167766,12.06201425,12.494775,13.72321141,13.78419131,14.15627431,12.2352473,11.43805679,11.11463607,12.14186124,12.42941537,12.9893239,13.63351326,15.90389675,15.16371789,15.68895652,16.64543781,16.8062378,16.94987574,18.09837976,17.65457819,17.69689392,15.80509716,16.44324159,16.87300738,15.738491,15.39692505
Armenia,ARM,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3064997,18.50922324,18.54669719,17.19368198,11.54304603,11.32299122,11.34300916,11.47718311,11.29209705,12.23046955,10.7986681,10.34133848,9.169041823,9.384795808,9.356232102,9.710011798,9.26564058,9.398191982,9.395905687,12.28372598,12.04370773,11.91029326,10.90996389,11.93506543,12.08585349,13.11159781,13.45415852,12.31855199,11.48669032,12.5645601,14.96861824,13.64985026,12.69914357
American Samoa,ASM,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
