Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.24477674,18.22471736,18.53572541,17.68706981,18.72622639,17.04352897,17.69200151,17.58304217,16.66691606,17.332271,18.08843728,18.62009913,19.38288057,20.97085148,23.02644521,23.25115082,21.08315575,21.4636747,21.42070303,21.89536757,22.38979156,21.81077958,20.58960404,20.5962921,20.34702686,21.09980869,20.52912333,19.98559669,19.50587794
Afghanistan,AFG,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.45562833,12.98670367,
Africa Western and Central,AFW,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,30.32665299,29.67477839,30.60773919,27.79224616,21.94765405,25.15584754,29.21997371,42.79248839,28.2365041,26.39240365,26.68083714,26.15849908,27.47881001,28.20960509,26.21321467,23.24231667,17.19469862,17.71225524,26.4904005,26.43736188,25.67231961
Albania,ALB,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,,,,,,,,,,,,,,,,,,,,,35.14548255,32.1448264,34.49230123,36.69191551,38.34723543,33.45274869,32.09443393,33.56887838,32.68150975,32.47762018,30.36094681,7.603111096,5.656684102,13.67613745,18.8965849,21.27851346,21.79445147,20.11538554,21.48869164,23.54310699,31.90659199,36.72931712,36.05552225,35.89389705,37.79569067,37.91985083,38.07024698,36.38474182,33.94929748,32.70891029,28.42847186,29.36623267,26.48867694,26.07955762,24.15867355,24.41349028,24.36793122,24.57650336,23.86262697,22.31329842,22.64950604,24.35361461,23.88699038
Andorra,AND,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,,,,,,,,,,19.97866635,19.59155624,18.29172805,19.23986226,20.91135576,16.53818829,26.5485991,29.66088134,32.8475299,35.81340469,29.85883734,26.39350334,30.09843308,33.75483432,34.37719427,31.00085969,29.22908478,30.31139863,26.90808071,25.29196886,26.41210951,20.91269424,23.5278954,24.55452464,25.56534183,24.98078933,23.81379647,22.48681503,21.89379017,23.07649652,21.1483121,19.13152418,20.24710795,20.66413268,21.1335559,20.85784043,20.9871478,21.3932453,23.20043386,23.19284144,25.35717673,24.21681901,22.35624372,21.15477435,21.70445828,22.53723112,25.13078151,23.757435,22.22837308,21.21719838,22.26748121,21.65013139,20.53098056,20.37304622
United Arab Emirates,ARE,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.97810225,21.07141741,20.79147637,18.68411572,18.37912798,17.57821121,23.57302652,22.3738986,28.9130022,23.90250995,20.83182599,20.27032496,17.75343037,19.06036111,22.61156229,23.64431238,18.73814761,17.12829767,18.36949815,20.20557101,,
Argentina,ARG,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,23.47876828,27.76589541,21.73050328,18.27251579,17.17889981,19.22342519,20.54254663,21.21503579,21.69049729,23.9906052,24.44009525,24.11303242,23.89154462,20.89381153,22.26033179,29.44104696,30.72943959,30.9416888,27.82189321,23.91514081,25.25778629,22.69108872,21.75494795,20.88775231,19.96409245,17.58906692,17.46176421,19.554866,18.6400389,15.51469828,13.99698158,14.6369774,16.70240577,19.05643407,19.93897526,17.93774611,18.08218126,19.37012354,19.93496169,18.0140244,16.19264939,14.17911832,11.96064809,15.13750756,15.89378728,17.3511469,18.33118672,19.51607916,19.01016098,15.58175264,16.64146616,17.2482847,15.85752542,16.28951119,15.97995408,15.56474508,14.27236275,15.16219875,15.2510495,14.19904614,14.28250537,17.62588827,17.88430916
