DATE,NGDPRXDCAUA
1/1/1994,1028143
1/1/1995,1060379
1/1/1996,1102405
1/1/1997,1148783
1/1/1998,1206322
1/1/1999,1256449
1/1/2000,1299006
1/1/2001,1334270
1/1/2002,1387780
1/1/2003,1431077
1/1/2004,1487803
1/1/2005,1532802
1/1/2006,1574194
1/1/2007,1642896
1/1/2008,1683128
1/1/2009,1716648
1/1/2010,1759715
1/1/2011,1806721
1/1/2012,1877634
1/1/2013,1918848
1/1/2014,1967906
1/1/2015,2013815
1/1/2016,2068459
1/1/2017,2119471
1/1/2018,2180446
1/1/2019,2219807
1/1/2020,2171833
1/1/2021,2291432
1/1/2022,2381241
